category,region,age,monthly_income,digital_literacy_score,family_size,community_standing_score,location_stability_score,bill_payment_consistency,mobile_money_transactions_per_month,banking_app_sessions_per_week,smartphone_usage_hours,income_variability,education_level,temporal_activity_pattern,business_type,gender,is_legitimate,is_scammer,trustworthiness_label,application_speed,scammer_type,edge_case_type,adversarial_strategy
Urban_Gig_Workers,luzon_metro,24,42692,7,3,0.5625656231809888,0.5406792089855197,0.8029300788060431,42,2,9.0,0.35616870303512527,4,"[0.8171471752859801, 0.8472344732745287, 0.7898614568594735, 0.8338998610636785, 0.8033253259402271, 0.4175622920143845, 0.4378361303097591, 0.7883977315656246, 0.8026338562539213, 0.7835901447161298, 1.0, 1.0, 0.5673157723923749, 0.5943253506218223, 1.0, 1.0, 0.8371550674766265, 0.8413922977084255, 0.8033181270970634, 0.4239785317041164, 0.4328693375577092, 0.7509540866206285, 0.7742102125168114, 0.859405470625101, 0.8676260486499452, 1.0, 0.6050433052909839, 0.597200706514125, 1.0, 1.0]",freelance_writer,male,True,False,trustworthy,,,,
Rural_Entrepreneurs,luzon_rural,46,10646,4,7,0.9214727230384958,0.8677044836488641,0.98,24,1,9.0,0.5227099219188515,1,"[0.3643238198671984, 0.3556924135464617, 0.3634894912564649, 0.3600306991830588, 0.35705547404685617, 0.36138631042278985, 0.36059717908672045, 0.35819934936852366, 0.3602094062549701, 0.35884405920941476, 0.4803405520357537, 0.48198639202356314, 0.48475805044843606, 0.47628655350351945, 0.4863991001239688, 0.4741437366014325, 0.3595446447148933, 0.36176495161945377, 0.36084297560320516, 0.35813190144053825, 0.35937563324892824, 0.35852099719602354, 0.3582319057291674, 0.3625488062910631, 0.3610710464578952, 0.477921271214218, 0.48269879962629975, 0.4809218985626298, 0.4824385863565169, 0.48188888652577083]",sari_sari_store,male,True,False,trustworthy,,,,
Student_Entrepreneurs,visayas_metro,20,20704,7,6,0.5784845653360848,0.7925662733650967,0.7884131347222282,29,4,11.0,0.42891096284661046,3,"[0.6148404702694565, 0.5901644761717348, 0.6259484919149301, 0.6122074181203048, 0.5370250702035517, 0.6951572872750902, 0.6645554037217903, 0.6180569563817051, 0.630597279561318, 0.5928139994193005, 0.8938189032143704, 0.9002162051180996, 0.8449731502152553, 0.8724848460778373, 0.84556325701189, 0.7975749681976781, 0.6169295376469273, 0.6341871337397623, 0.6155735509607868, 0.6230603757667215, 0.6270991581208306, 0.6274330758252408, 0.6316585815282766, 0.596338484805513, 0.6072433200978721, 0.7992298263053093, 0.8710339390466947, 0.7731709146291418, 0.8766126846835705, 0.883999998471986]",small_business,male,True,False,trustworthy,,,,
Seasonal_Workers,mindanao_metro,27,13420,6,5,0.6930022052616467,0.31557531975517195,0.9397173510178655,40,3,9.0,0.8137203944691289,2,"[0.5463190842530714, 0.5438066046356402, 0.5444490299259217, 0.5352433839340647, 0.5205286176934856, 0.5499208907703668, 0.5356701614579921, 0.5321984387198844, 0.5462707118735136, 0.5364552659446793, 0.7295843659474313, 0.7255792129617331, 0.7261811054348174, 0.7076484857004834, 0.7309588790785586, 0.722362331110615, 0.5366608493756542, 0.5412965754967319, 0.5239385752418236, 0.5436952010985078, 0.5306920138050075, 0.5277686177954897, 0.5262342233328748, 0.5500613704104029, 0.5343099503581067, 0.7338685753756604, 0.7151550702718056, 0.7045613909333355, 0.7099039423659901, 0.7311746997145382]",construction_worker,male,True,False,trustworthy,,,,
Women_Led_Businesses,luzon_metro,39,29323,8,4,0.6555754809440049,0.5121544692304488,0.8300196448815402,44,3,9.0,0.39328322442368646,3,"[0.6952256164814145, 0.684823802163195, 0.7040205575408014, 0.7419884923031195, 0.7443018800527988, 0.7330821662871364, 0.7384878059014983, 0.7331610252822359, 0.7036441095963071, 0.7310127521291019, 0.9804080843007599, 0.979232206215673, 0.9903137875632517, 0.9780596609218511, 0.9689608936685496, 0.9872856776308696, 0.7193237860401985, 0.6975147950421517, 0.7158422729341126, 0.7010071775860681, 0.7027849435577379, 0.7163151997545794, 0.6997956270638228, 0.7121478884743698, 0.6717184059680508, 0.9654383610185677, 0.9600307360695236, 0.9391666476491659, 0.976808821924567, 0.9839052757413338]",beauty_services,female,True,False,trustworthy,,,,
Tech_Savvy_Youth,luzon_metro,27,32522,9,3,0.5224824120520354,0.5907777926661836,0.754652097751905,38,10,14.0,0.33231651887837205,5,"[0.7669372835494749, 0.7436831819621458, 0.8299270116765863, 0.8379385689091606, 0.7887831573836237, 0.7146439813479226, 0.7898970105759878, 0.8244192436226875, 0.7555728223486243, 0.8167480457511292, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8089951332764083, 0.7756536996009046, 0.7936862444349525, 0.7774373265315119, 0.8036352070493573, 0.8729946127294799, 0.7595110398735042, 0.7506174143823657, 0.86414228305503, 1.0, 1.0, 1.0, 1.0, 1.0]",digital_marketer,female,True,False,trustworthy,,,,
Urban_Gig_Workers,luzon_metro,38,45213,6,6,0.5,0.7538011306730885,0.859505457396344,5,5,3.0,0.20370218446518634,4,"[0.7268385111843697, 0.4604401558077541, 0.28251071188337323, 0.542430179960387, 0.4003415967932221, 0.2485902767163208, 0.568700096968841, 0.4040581708293802, 0.7177339233077519, 0.336303584564061, 0.29715982504551725, 0.15880534697793725, 0.31437762471569153, 0.4039999944667646, 0.7271122254961782, 0.22342151248249584, 0.4116975803177251, 0.38856018249124835, 0.1732163429569913, 0.854368181873962, 0.4557886919970363, 0.7090771929607775, 0.1817851312905967, 0.16983778588409287, 0.44478361278083134, 0.5455880257769823, 0.5099526787283669, 0.18263434187329947, 0.17169507356830999, 0.5433758443180576]",delivery_driver,female,False,True,untrustworthy,0.2547109832262645,Application_Fraudsters,,
Urban_Gig_Workers,visayas_metro,38,12761,8,5,0.12464383806607898,0.18917543549128218,0.7975370085000608,25,5,10.32560355674222,0.4121457390076337,1,"[0.9541135885452643, 0.9167370884716094, 0.9288337215727597, 0.9586005097712834, 0.9488021221691844, 0.5121031276051775, 0.4937010433282065, 0.9472385520652735, 0.9322423067161048, 0.9499033039966543, 1.0, 1.0, 0.6419355275791864, 0.670936838182931, 1.0, 1.0, 0.9438553964669415, 0.9424607897146753, 0.9597754437516628, 0.4909069541207565, 0.5163923400090954, 0.9527274186290146, 0.9495075353511606, 0.9109253528155405, 0.940536086616221, 1.0, 0.6722180060826847, 0.6086348237382603, 1.0, 1.0]",,male,True,False,challenging_legitimate,,,Recent_Migrants,
Rural_Entrepreneurs,visayas_metro,39,23081,7,5,0.9017006974920501,0.1300034182153449,0.9576448263619705,5,4,11.0,0.25533269795634234,3,"[0.6388513066971688, 0.6178738047514574, 0.6148500996993113, 0.6368255301087651, 0.6268386752874539, 0.6401009544092636, 0.6366948856620105, 0.628969690451883, 0.6180204218189848, 0.6085694787606438, 0.8336831595899403, 0.8521154610524596, 0.8430287810255895, 0.8223765519579619, 0.8424499879916767, 0.8454510792610682, 0.6174960819478023, 0.632174746795784, 0.63082347787727, 0.6138304161340812, 0.6350616124848545, 0.6379334103843567, 0.6453219098876404, 0.6449081220140165, 0.6105101318669695, 0.8267326030577975, 0.847286196292977, 0.8472685222338445, 0.8472863719857637, 0.8945045353052908]",sari_sari_store,male,False,True,adversarial_attack,,,,social_engineering_data
Senior_Citizens,mindanao_metro,27,17530,6,3,0.5541847530967391,0.35428505695075774,0.7090845372068634,27,4,9.561915755179392,0.27096887372693174,1,"[0.5670065390708605, 0.6114936269602861, 0.5566393293479223, 0.5535996952253149, 0.47371880315661274, 0.4252019887140782, 0.5569476757509925, 0.5358621247309383, 0.5175362639833934, 0.5506270053082467, 0.7173641431749375, 0.769213307031318, 0.7237576474636619, 0.6874062700279263, 0.7632082004473472, 0.7105249819267881, 0.562976649451214, 0.5191670765198285, 0.5116432966305137, 0.5436728759455427, 0.540559807616028, 0.5609383656081601, 0.5282770194522729, 0.4598661815474596, 0.5211149078056652, 0.7546401100114322, 0.7070233050425074, 0.7092484887649398, 0.7630428266555854, 0.6889313968643471]",,male,True,False,challenging_legitimate,,,Multi_Regional,
