category,region,age,monthly_income,digital_literacy_score,family_size,community_standing_score,location_stability_score,bill_payment_consistency,mobile_money_transactions_per_month,banking_app_sessions_per_week,smartphone_usage_hours,income_variability,education_level,temporal_activity_pattern,business_type,gender,is_legitimate,is_scammer,trustworthiness_label,application_speed,scammer_type,edge_case_type,adversarial_strategy
Agricultural_Workers,visayas_metro,67,16713,5,4,0.6440757814257277,0.5477345104821689,0.98,29,3,3.0,0.23522391711031543,3,"[0.45173889951964075, 0.45097738894974654, 0.450583152904732, 0.44894050112156797, 0.4510154515303851, 0.44911379576958294, 0.4505053829288089, 0.4539527926068239, 0.4469803723041611, 0.45341963568338717, 0.6039513452020195, 0.5996457944190268, 0.5936344353029742, 0.5981765340387167, 0.6038909836396833, 0.5999313958131033, 0.4470020933031153, 0.4484856752363154, 0.45252186007951367, 0.45164020070460414, 0.4492832037024909, 0.44889952676455597, 0.44882472555286856, 0.4472327694465045, 0.4548461270684083, 0.599033038592366, 0.6036514755624764, 0.6045639481557673, 0.6029949326944438, 0.5987051390618459]",fisherman,male,True,False,trustworthy,,,,
Agricultural_Workers,mindanao_rural,31,10008,3,7,0.8817159197140967,0.7783272392240208,0.9580561327495128,24,2,4.0,0.345074415503009,3,"[0.2599452726502226, 0.2729077963429417, 0.2827361061169541, 0.26142348157680667, 0.2711935515466274, 0.26583508611184664, 0.27267950346603625, 0.27012046977511023, 0.26596403373661803, 0.27306948755277366, 0.3713522006385844, 0.35879891350532633, 0.36452841473669206, 0.35186326961046105, 0.35398250393658126, 0.36297218193115666, 0.27933743485278495, 0.2722373698640951, 0.2680303703289057, 0.2699955418204714, 0.26213295959960875, 0.27380335658993016, 0.27555126912552136, 0.26715563746416315, 0.26704269218283627, 0.361672794175398, 0.35725234280487683, 0.359583921358681, 0.37321056779816336, 0.3584458180200677]",fisherman,female,True,False,trustworthy,,,,
Urban_Gig_Workers,visayas_rural,27,14777,3,5,0.8879441966251278,0.9351616085957378,0.8554622706261481,35,2,7.0,0.3759490373059611,3,"[0.355517876685193, 0.3067338417201799, 0.34564103135668517, 0.3362141317988497, 0.3292842177111561, 0.1829055602909909, 0.2279750293075194, 0.36489389580794646, 0.33861646286261166, 0.3634139722643676, 0.49833894860866434, 0.48804666795461904, 0.2532928257404977, 0.2379739840653, 0.4831379418518392, 0.47653102262259817, 0.37040837930605136, 0.3647709434966116, 0.37375499494956266, 0.17739574767601535, 0.2175619720406059, 0.35528408972811154, 0.3959930241581482, 0.33605795364918223, 0.38863683995770526, 0.47229083628904367, 0.237876828132648, 0.24150903604044238, 0.4610546591193851, 0.47719619741559655]",freelance_writer,male,True,False,trustworthy,,,,
Young_Professionals,visayas_rural,29,17356,2,6,0.9077065296564085,0.9813711258891932,0.9784591577317818,99,2,9.0,0.5167133140689232,4,"[0.22158204456989947, 0.22387182944543046, 0.22214258039138227, 0.2368585421374688, 0.23160817396651476, 0.11772800830573234, 0.13237527803364435, 0.25966831708232596, 0.25841969324956165, 0.20535683379438086, 0.32059653481208567, 0.30934802083125007, 0.17031131969896535, 0.1620668532311553, 0.31375169550473353, 0.3142554872468297, 0.22537546553796461, 0.2206469827429693, 0.22731586556462255, 0.12948971580742746, 0.13492313483103494, 0.24671217777611337, 0.22663814500840018, 0.23822837865416238, 0.24833821845901521, 0.3293636459589922, 0.16712357813666429, 0.16470882201960352, 0.3148471414419745, 0.29487302595527437]",nurse,male,False,True,adversarial_attack,,,,cultural_mimicry_attack
OFW_Families,mindanao_rural,60,21507,1,4,0.9434677735296935,0.12676564763682754,0.9105743236829894,5,2,4.0,0.4596721062579256,1,"[0.08960099050820981, 0.08603732315248153, 0.09642902116375475, 0.0885907066069886, 0.09047626815281264, 0.0934680200083534, 0.0881745182888064, 0.08697639626033361, 0.09076121189032452, 0.08462077080626283, 0.11913628176939624, 0.12073511599294622, 0.1191901443095245, 0.11536964717044275, 0.12478253386861203, 0.12031061446184753, 0.09429345635328523, 0.08921989124945867, 0.08735996405492771, 0.0908075427607655, 0.08935263862101535, 0.08646671562602594, 0.0944093527763625, 0.08813318933131802, 0.0844792008456133, 0.123984498161872, 0.11848710595256212, 0.11817652832215313, 0.11470383723891008, 0.12522282445979097]",property_manager,female,False,True,adversarial_attack,,,,social_engineering_data
Senior_Citizens,mindanao_metro,78,20467,4,2,0.7847764449354755,0.5245198680940232,0.98,24,0,3.0,0.21707036025337845,2,"[0.3612271948150022, 0.3619998836503707, 0.3559502230864162, 0.3586344032855516, 0.355958238247256, 0.3573036005692685, 0.3616530511806789, 0.3577995537999652, 0.35909752213190316, 0.3551180648161581, 0.48056097062917397, 0.479867180040466, 0.47781312224990047, 0.47943295710695255, 0.4805408846415103, 0.4775553955532719, 0.3555712123679947, 0.3654167232980605, 0.35810018188586923, 0.35970971969043936, 0.36303251920506097, 0.3705871655627115, 0.3562665406503334, 0.3613494816411796, 0.35787734314411773, 0.47838362908626986, 0.4778393639369796, 0.4766230350965982, 0.479876125914646, 0.47557649193885526]",landlord,male,True,False,trustworthy,,,,
OFW_Families,mindanao_rural,52,38949,1,5,0.8507774252963959,0.7917822244877417,0.98,32,0,4.0,0.4708733507956287,3,"[0.0893352009168449, 0.08567705509642524, 0.09287644891940303, 0.0933830588835493, 0.08415797257757757, 0.09293537341699966, 0.08756841411053513, 0.09257092661094837, 0.08979466052200076, 0.09008632669224301, 0.11944470705173633, 0.12363638761270046, 0.1162812359624249, 0.12182352101620503, 0.12330399049466866, 0.12214902024162123, 0.09697409674297026, 0.08841315971182591, 0.0928719144677806, 0.08968172809397575, 0.09370021822905802, 0.08997693301283591, 0.0888363726544126, 0.0939182166116149, 0.08852531418294322, 0.11576182272329832, 0.11844945935047851, 0.12185709883976559, 0.12417611625476127, 0.12033338812588953]",remittance_recipient,male,True,False,trustworthy,,,,
Rural_Entrepreneurs,luzon_rural,46,10646,4,7,0.9214727230384958,0.8677044836488641,0.98,24,1,9.0,0.5227099219188515,1,"[0.3643238198671984, 0.3556924135464617, 0.3634894912564649, 0.3600306991830588, 0.35705547404685617, 0.36138631042278985, 0.36059717908672045, 0.35819934936852366, 0.3602094062549701, 0.35884405920941476, 0.4803405520357537, 0.48198639202356314, 0.48475805044843606, 0.47628655350351945, 0.4863991001239688, 0.4741437366014325, 0.3595446447148933, 0.36176495161945377, 0.36084297560320516, 0.35813190144053825, 0.35937563324892824, 0.35852099719602354, 0.3582319057291674, 0.3625488062910631, 0.3610710464578952, 0.477921271214218, 0.48269879962629975, 0.4809218985626298, 0.4824385863565169, 0.48188888652577083]",sari_sari_store,male,True,False,trustworthy,,,,
Rural_Entrepreneurs,visayas_metro,29,23749,9,4,0.7566434546573112,0.7852474084944814,0.98,13,31,12.0,0.49940136664724505,4,"[0.7871550737212178, 0.7329967637591703, 0.8473738476553039, 0.798254955952876, 0.8900101395715249, 0.8111349416569377, 0.8845705608389072, 0.8273304384920301, 0.7879979194003675, 0.737783991021843, 0.7109134334770748, 0.7366282642422054, 0.7940495062771797, 0.7327109913616819, 0.7934265679663866, 0.7232048094201114, 0.8790350436079597, 0.798982155383813, 0.788303937549174, 0.8977637167409497, 0.8121709041076892, 0.7915519408777186, 0.7224981767622208, 0.843952792684554, 0.7296107413227174, 0.7699208603703647, 0.7407467422905164, 0.7568232896635756, 0.8669907319073304, 0.8499873303007153]",freelancer,male,False,True,untrustworthy,0.15264327766438063,Professional_Scammers,,
Agricultural_Workers,visayas_metro,30,27954,8,2,0.5925605024233483,0.36179436838174617,0.8037171317232079,41,3,9.0,0.45541970712033475,4,"[0.7310824112143693, 0.6934414100365754, 0.6943950053959456, 0.7531355351315107, 0.6849808233158209, 0.7683642838358685, 0.6934835368460648, 0.7387958097364737, 0.7103246734516864, 0.7377593038622029, 0.9439799614493193, 0.9552069812191524, 0.961204759967129, 0.9304931657442287, 0.9818116691112508, 0.9448897453701592, 0.7132694629393845, 0.6907239379023911, 0.6445586699954235, 0.7143756784254512, 0.7910332612504508, 0.7431006570136341, 0.719432927613245, 0.7122598550999006, 0.7206614504819322, 0.9761085163823475, 0.9252340010569778, 0.9928083387618992, 0.9810625644759647, 0.9811451331296104]",rice_farmer,male,True,False,trustworthy,,,,
