category,region,age,monthly_income,digital_literacy_score,family_size,community_standing_score,location_stability_score,bill_payment_consistency,mobile_money_transactions_per_month,banking_app_sessions_per_week,smartphone_usage_hours,income_variability,education_level,temporal_activity_pattern,business_type,gender,is_legitimate,is_scammer,trustworthiness_label,application_speed,scammer_type,edge_case_type,adversarial_strategy
Women_Led_Businesses,mindanao_metro,44,19221,5,6,0.772358004067395,0.625094793900705,0.98,33,4,7.0,0.2069997097133733,3,"[0.4546163318732046, 0.4563117328752667, 0.44895027940113386, 0.4488730661368161, 0.44891814189782664, 0.45018746995706366, 0.44892546270965455, 0.4526525323841679, 0.4453535061588217, 0.4483961337141117, 0.6009875240192167, 0.6026102535214816, 0.6065858551910422, 0.5961329243171072, 0.5980438727574382, 0.593200780280318, 0.4466703929779414, 0.44469322410919787, 0.44843610781480703, 0.4493149032220751, 0.4514083627195127, 0.4491042014090402, 0.45140981124123647, 0.45034222250128186, 0.44690003038274945, 0.5949411788824773, 0.6017510459996882, 0.6049395089550436, 0.607606155035046, 0.6028063641037038]",home_based_food,female,True,False,trustworthy,,,,
Seasonal_Workers,visayas_rural,44,68980,6,4,0.5,0.7682961740696586,0.8425444701318995,21,0,1.0,0.7139827567444869,3,"[0.8432730194025949, 0.6440696966150361, 0.14735028203275516, 0.5093260671258272, 0.7142430423354907, 0.3307298674885095, 0.2087195113149913, 0.16699027308268288, 0.31143032862142817, 0.3858184855540976, 0.40316435584777977, 0.39726845679818, 0.5080836462208127, 0.19975874522954884, 0.4709731362295373, 0.5757418935339079, 0.8180293131880735, 0.47970363531630933, 0.11725915816861683, 0.31698178197165094, 0.822822742217357, 0.46823532742745777, 0.2582483633091285, 0.7743007132682623, 0.38327978186785827, 0.40506640557089635, 0.6461044041454562, 0.3368144335051443, 0.8780039180071234, 0.7351581154316803]",rice_farmer,female,False,True,untrustworthy,0.1044662494696824,Application_Fraudsters,,
Senior_Citizens,visayas_metro,30,31613,8,1,0.5,0.5079109322644739,0.7893863016720359,16,2,4.0,0.2736915083033466,3,"[0.16204860160984547, 0.1812993929735213, 0.40656778212676514, 0.24331141001558676, 0.6595620123459668, 0.31599287254490305, 0.2661290307816427, 0.18214726394653838, 0.7266442196547619, 0.5775433667037495, 0.5114593077994456, 0.4293236386845216, 0.20703813729176154, 0.6606672469062216, 0.22308685306033046, 0.17970731535358375, 0.30514827748506357, 0.8222206172753758, 0.12663762646741433, 0.5197307988620415, 0.15941380884928533, 0.8698328219672391, 0.10230282414660019, 0.6050576141664992, 0.487676426099957, 0.28593287962922675, 0.3374006406890998, 0.2662711096264583, 0.32386798071696443, 0.4320949792984713]",online_seller,female,False,True,untrustworthy,0.13622494532015197,Organized_Crime_Members,,
Agricultural_Workers,luzon_metro,53,32971,6,3,0.6074810610350048,0.49780559831794585,0.98,34,3,8.0,0.21971817967251042,4,"[0.5406200328856173, 0.5396121076288936, 0.5395991168108197, 0.5376699178410836, 0.5428248570406545, 0.5402295541867311, 0.5394766681971442, 0.5377577122402524, 0.5360042606688268, 0.5439238925776481, 0.7216639161243954, 0.7151282464722901, 0.7222894269021289, 0.7227674435106993, 0.7203731283669028, 0.7247943326872552, 0.5406501589263687, 0.5357495294161525, 0.541095507003145, 0.5407346919051382, 0.5381901094536655, 0.5417206765106323, 0.5349970042014275, 0.5429717004823285, 0.5373656348891837, 0.7170451616246488, 0.7196585256830775, 0.7212989187841309, 0.7204917721907803, 0.7177720225026828]",livestock_farmer,male,True,False,trustworthy,,,,
Young_Professionals,mindanao_metro,35,28098,5,5,0.7977254108707372,0.6132296772037242,0.9485120889792745,38,4,5.0,0.24067014375652787,3,"[0.57964790284448, 0.5637483148588539, 0.5864949220762193, 0.5906238053857908, 0.5909169118463865, 0.3134101678635184, 0.31395612207306456, 0.5869038090861233, 0.5881580044900664, 0.5842782734221632, 0.7620591748850791, 0.7907896591653287, 0.4164138308168393, 0.4105475951737467, 0.7769679965771764, 0.7808625734321608, 0.5802959481458447, 0.5808291786796733, 0.5824927796102437, 0.3177943405931385, 0.30882925988572335, 0.5876061313412148, 0.5743398464174917, 0.600491827747454, 0.5932816964549654, 0.7778786770046733, 0.4225853367373419, 0.4109780121232023, 0.7843390536916871, 0.7865292480909456]",nurse,male,True,False,trustworthy,,,,
Young_Professionals,luzon_rural,26,14637,5,6,0.9233226318458957,0.7422056728853796,0.790651551095776,33,1,10.0,0.45794452040744466,2,"[0.5851449550723525, 0.6026211872373199, 0.5855970712724003, 0.6169875410598532, 0.5516242728952631, 0.3643595762756222, 0.322276495860473, 0.6056771016813366, 0.5618133408315094, 0.5955901952747747, 0.7496029204409749, 0.8169179007026915, 0.37949709124229186, 0.42484139488239675, 0.7678025392917772, 0.7309299413299182, 0.5556276151012255, 0.5991182624009099, 0.5568460774752021, 0.29398652702020517, 0.3267238660846371, 0.6137280978625298, 0.6057498809614691, 0.5835373758383602, 0.5918343600741424, 0.7837288857999473, 0.3874560725695865, 0.42877502103061704, 0.7471764802389199, 0.7992896636083017]",teacher,male,True,False,trustworthy,,,,
Rural_Entrepreneurs,luzon_rural,27,19874,7,6,0.972110886397275,0.9892479962299072,0.954198111137171,22,21,11.0,0.6441614731830797,3,"[0.6739795604375602, 0.1589088528640633, 0.5710864079706809, 0.8960204237065582, 0.4006343203039313, 0.6148665219519593, 0.12234388899285893, 0.5817265314661725, 0.7532971218687295, 0.6781461614369004, 0.1345282994848912, 0.3803084177029571, 0.6739003765668473, 0.603584356880279, 0.8424611329601183, 0.7960907063182786, 0.7624277302577618, 0.8832935079339195, 0.367239162748658, 0.26210548240778275, 0.7727495096242925, 0.47366765750321294, 0.6311574667540966, 0.7819935199051915, 0.8923754774463031, 0.7920034609357786, 0.10536518440573994, 0.30876778597806454, 0.24394128244726937, 0.10987997334583906]",rice_farmer,female,False,True,untrustworthy,0.1756847941973442,Synthetic_Identity_Creators,,
Senior_Citizens,mindanao_rural,77,10876,1,6,0.7887751453006066,0.8482299055098085,0.98,31,0,1.0,0.592140362877084,1,"[0.09042840161816701, 0.09365570310158944, 0.09063959453974546, 0.089962267050773, 0.09067809329849252, 0.0919899284762532, 0.09640200605597572, 0.09195732201128094, 0.0884924585129032, 0.08937404114093066, 0.11729662014957237, 0.11628228555746746, 0.11270257151276189, 0.11861519372533559, 0.11578668715840029, 0.12029115998425459, 0.0884715757458384, 0.08674343474002985, 0.08368948381046959, 0.08895198363786413, 0.08474284788430246, 0.09211848554485536, 0.090764692708285, 0.08931960476834234, 0.09435224177896599, 0.12002947953672656, 0.12115824647549475, 0.12206239335657013, 0.11844935294489559, 0.11846612766975301]",consultant,female,True,False,trustworthy,,,,
OFW_Families,mindanao_metro,57,29460,5,4,0.7029296627728377,0.5266438197942794,0.98,44,2,6.0,0.5706260026145211,4,"[0.44954380124842724, 0.4537704037481901, 0.4473347913727701, 0.4441612404209981, 0.44839715084551235, 0.44799649699185495, 0.4433072609758777, 0.45073646018851055, 0.4464419621183781, 0.4497507014553306, 0.5989114798235454, 0.596777952085831, 0.6026718815285705, 0.5991556202887754, 0.6001628147010866, 0.6017592187695083, 0.45086550493714844, 0.4504350003377495, 0.4475274241089337, 0.446663264203037, 0.45047354253476757, 0.4471142534682084, 0.45238332332697817, 0.4496113807765436, 0.45194583607495165, 0.5970426835911842, 0.5965764056070174, 0.6050366193675043, 0.5995515939167937, 0.6027396487761408]",family_business_manager,male,True,False,trustworthy,,,,
Student_Entrepreneurs,luzon_rural,28,17413,5,7,0.6067286520973728,0.7894501215147082,0.8324023356129852,36,4,8.0,0.5965368887450981,3,"[0.47257003931018793, 0.4134425890727084, 0.4302343711917325, 0.4635121745383053, 0.4377044175639254, 0.4322202488697386, 0.4707054381087135, 0.42917655377732666, 0.5123866131313326, 0.49007944907044254, 0.5946336734655568, 0.6314146695062262, 0.6046894009327873, 0.5895461216663526, 0.6497279367236796, 0.6098162844763974, 0.4275126406555949, 0.4615657285139213, 0.4921706022443888, 0.4500591391973022, 0.4552685066429703, 0.44246487747016133, 0.4588485148843022, 0.4254186959080037, 0.4300008398293058, 0.591393538926822, 0.6042155070102964, 0.6279661988182692, 0.5963003217884248, 0.6208017166501616]",small_business,female,True,False,trustworthy,,,,
